Unique,Date,Time,Crew,Lat,Long,Gear,Bait,Technique,FL,TL ,lbs,kg,,,,,,,,
80,3/23/2024,12:10,"AB, JS, LG",62.3053,145.99845,Little Cleo 2/3 ox s/ch,Y,Jigging,780,859,16.3,7.4,,,,,,,,
81,3/23/2024,12:40,"AB, JS, LG",62.3062,145.99819,"Tube White 4""",Y,Deadstick,803,881,15.7,7.1,,,,,,,,
82,3/23/2024,12:45,"AB, JS, LG",62.3062,145.99819,"Tube White 4""",Y,Deadstick,733,794,11.8,5.4,,,,,,,,
83,3/23/2024,13:08,"AB, JS, LG",62.30672,146.00139,"Tube White 4""",Y,Tipup,464,509,1.5,0.7,,,,,,,,
84,3/23/2024,16:05,"AB, JS, LG",62.30384,146.04197,"Tube White 4""",Y,Deadstick,760,825,10.7,4.9,,,,,,,,
85,3/24/2024,10:25,"AB, JS, LG",62.30585,145.99865,"Tube White 4""",Y,Deadstick,720,780,9.2,4.2,,,,,,,,
86,3/24/2024,10:31,"AB, JS, LG",62.30617,146.00254,"Tube White 4""",Y,Tipup,545,598,3.4,1.5,,,,,,,,
87,3/24/2024,10:53,"AB, JS, LG",62.30544,145.99918,Tube Jig Gold Glitter,Y,Deadstick,685,750,9.5,4.3,,,,,,,,
88,3/24/2024,11:11,"AB, JS, LG",62.30696,145.99912,Green Dragon,Y,Deadstick,718,777,9.5,4.3,,,,,,,,
89,3/24/2024,12:06,"AB, JS, LG",62.30617,146.00254,Tube Glo,Y,Tipup,555,607,4.3,2.0,,,,,,,,
90,3/24/2024,12:35,"AB, JS, LG",62.30617,146.00254,Tube Glo,Y,Tipup,560,610,3.7,1.7,,,,,,,,
91,3/24/2024,13:20,"AB, JS, LG",62.30696,145.99912,Green Dragon,Y,Deadstick,737,801,11.1,5.0,,,,,,,,
92,3/24/2024,16:53,"AB, JS, LG",62.34508,145.98656,Green Dragon,Y,Deadstick,516,562,2.9,1.3,,,,,,,,
93,3/25/2024,9:03,"AB, JS, LG",62.30503,145.99906,Little Cleo 2/3 ox s/ch,Y,Jigging,575,635,3.7,1.7,,,,,,,,
94,3/25/2024,9:47,"AB, JS, LG",62.30503,145.99906,Tube White,Y,Deadstick,650,761,10.0,4.5,,,,,,,,
95,3/25/2024,11:12,"AB, JS, LG",62.30694,145.99924,Tube Glo,Y,Deadstick,715,778,9.6,4.4,,,,,,,,
96,3/25/2024,12:30,"AB, JS, LG",62.32455,145.9826,Tube White,Y,Deadstick,740,810,11.4,5.2,,,,,,,,
97,3/25/2024,13:47,"AB, JS, LG",62.3244,145.98177,Little Cleo 2/3 ox s/ch,Y,Jigging,570,558,2.7,1.2,,,,,,,,
98,3/25/2024,16:02,"AB, JS, LG",62.3355,145.98156,Tube White,Y,Jigging,592,644,4.4,2.0,,,,,,,,
99,3/25/2024,18:10,"AB, JS, LG",62.36011,145.98517,Tube White,Y,Deadstick,540,590,2.6,1.2,,,,,,,,
100,3/26/2024,11:41,"AB, JS, LG",62.39091,146.04309,Rattle Trap,N,Jigging,605,656,4.3,2.0,,,,,,,,
101,3/26/2024,11:46,"AB, JS, LG",62.39157,146.04317,Tube White,Y,Jigging,499,552,1.8,0.8,,,,,,,,
102,3/26/2024,12:00,"AB, JS, LG",62.39205,146.04293,"Twister 3"", 3/8 oz",Y,Jigging,624,688,5.1,2.3,,,,,,,,
103,3/26/2024,13:15,"AB, JS, LG",62.39371,146.03874,"Twister 3"", 3/8 oz",Y,Jigging,628,690,4.0,1.8,,,,,,,,
104,3/26/2024,14:04,"AB, JS, LG",62.39504,146.03328,"Twister 3"", 3/8 oz",Y,Jigging,579,636,4.5,2.0,,,,,,,,
105,3/27/2024,11:24,"AB, JS, LG",62.39777,146.01899,Rattle Trap,N,Jigging,573,625,3.7,1.7,,,,,,,,
106,3/28/2024,10:37,"AB, JS, LG",62.30634,146.00016,Squid Pink,Y,Jigging,513,562,3.1,1.4,,,,,,,,
107,3/28/2024,12:22,"AB, JS, LG",62.2993,146.02156,Tube White,Y,Tipup,607,653,5.1,2.3,,,,,,,,
108,3/28/2024,12:47,"AB, JS, LG",62.29883,146.02585,Tube White Glitter,Y,Deadstick,693,760,7.5,3.4,,,,,,,,
109,3/28/2024,15:18,"AB, JS, LG",62.30591,146.02561,Tube White,Y,Deadstick,559,623,4.2,1.9,,,,,,,,
110,3/28/2024,17:33,"AB, JS, LG",62.29858,146.02692,Green Dragon,Y,Deadstick,683,751,8.6,3.9,,,,,,,,
111,3/28/2024,17:47,"AB, JS, LG",62.29956,146.02309,Tube Whiote,Y,Deadstick,682,741,8.4,3.8,,,,,,,,
